Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDS60,OUT027,4280.2617
NCO06,OUT017,243.9023
FDO16,OUT035,1408.1359
FDC60,OUT049,1630.3479
FDA48,OUT018,3187.2805
FDZ36,OUT027,4758.6597
FDK27,OUT045,1442.6947
FDW23,OUT018,374.66476
FDM14,OUT018,1338.9557
FDM14,OUT013,1539.466
FDW60,OUT018,2686.0662
FDE21,OUT013,1639.6047
NCM42,OUT035,1676.5952
FDY59,OUT010,33.29
DRI49,OUT049,991.8955
FDT28,OUT019,33.29
FDQ22,OUT018,277.00415
FDR60,OUT049,889.88513
FDC50,OUT019,33.29
FDV24,OUT013,2577.5156
DRF48,OUT010,33.29
FDQ47,OUT046,79.60245
DRN36,OUT049,1312.7024
NCY06,OUT035,1969.1978
FDE52,OUT035,1502.151
NCB54,OUT045,1584.6328
NCF31,OUT035,2246.4958
FDJ08,OUT027,5417.9946
NCC07,OUT017,1426.3884
NCD19,OUT027,1222.165
FDL46,OUT049,1408.0461
FDM20,OUT045,3580.954
NCI06,OUT010,138.99922
DRM11,OUT035,4164.9185
NCH07,OUT018,1961.7809
FDS23,OUT013,1676.5552
FDO49,OUT018,358.62262
FDS35,OUT049,562.0366
DRK39,OUT045,997.1918
DRI39,OUT049,273.4248
FDV04,OUT017,2612.3076
NCN14,OUT035,2576.3875
FDH08,OUT013,4165.009
FDS20,OUT046,2435.8489
FDV40,OUT049,668.71704
FDZ48,OUT010,33.29
FDS24,OUT027,2394.1206
FDK44,OUT049,2573.3835
FDS48,OUT045,2136.899
FDK26,OUT010,33.29
FDD23,OUT045,2670.517
NCH54,OUT017,2277.799
NCP14,OUT010,33.29
FDM60,OUT010,33.29
FDV24,OUT017,2293.1458
FDH08,OUT018,3480.924
FDS12,OUT027,3370.6714
FDR39,OUT027,4902.659
FDP12,OUT027,1076.8662
DRF60,OUT027,5617.9175
FDC09,OUT035,2009.227
FDF50,OUT018,2954.9597
FDG28,OUT035,4051.372
NCE19,OUT017,573.6791
NCM53,OUT010,33.29
NCN18,OUT049,1746.8848
FDF32,OUT035,3330.5813
FDF11,OUT013,3688.6667
DRI59,OUT049,3188.1667
NCG54,OUT035,2515.8054
FDM44,OUT046,1158.6719
FDT57,OUT018,2979.3032
FDV24,OUT046,2324.3975
FDI50,OUT019,33.29
FDS09,OUT035,942.9809
NCC31,OUT027,3529.3276
FDQ07,OUT019,33.29
FDC22,OUT017,2958.6882
FDZ56,OUT046,2187.6306
FDZ40,OUT019,33.29
FDS46,OUT027,2870.2485
DRD24,OUT045,1915.91
FDV45,OUT017,2822.7168
FDL26,OUT045,2255.1912
FDA56,OUT018,1621.6975
FDN27,OUT046,1425.2546
FDM20,OUT049,3672.4875
FDO16,OUT017,1298.8085
FDL03,OUT035,3144.2896
FDE58,OUT046,1540.6823
FDI02,OUT027,3050.483
NCC55,OUT019,33.29
FDR03,OUT018,3071.1416
FDB14,OUT017,1482.5148
FDR45,OUT013,3854.0999
NCN07,OUT017,1881.735
FDM51,OUT019,33.29
FDT52,OUT027,6085.224
FDL26,OUT046,2008.1112
NCZ42,OUT046,2715.5195
DRI47,OUT019,33.29
FDW40,OUT013,1948.5134
FDN34,OUT046,2565.9097
FDS01,OUT035,3039.341
NCG55,OUT045,1482.3965
FDC11,OUT035,1127.8224
FDX35,OUT018,3030.3735
NCB06,OUT046,2147.655
FDR09,OUT019,725.19696
FDC53,OUT017,1545.6696
FDY45,OUT013,4028.2122
FDA22,OUT010,33.29
FDE02,OUT035,1513.3654
FDW21,OUT045,1519.9465
FDV34,OUT046,1291.6875
FDS59,OUT049,1367.508
NCW17,OUT017,1570.0168
NCK54,OUT046,1338.533
FDG17,OUT019,33.29
FDG35,OUT017,2800.267
FDD08,OUT010,33.29
NCO07,OUT017,3276.718
FDJ10,OUT010,33.29
FDW36,OUT017,1369.8595
FDW21,OUT010,33.29
FDY19,OUT017,1741.3765
DRE03,OUT013,184.8565
NCC55,OUT049,513.5132
FDH52,OUT010,33.29
FDO09,OUT017,3949.626
FDU43,OUT045,3667.183
FDX09,OUT010,33.29
FDH40,OUT019,33.29
FDW58,OUT017,1374.9697
FDC47,OUT017,3465.445
NCR41,OUT035,1483.9652
DRG49,OUT035,3773.446
FDC52,OUT027,3593.0872
FDY13,OUT046,820.00037
FDY35,OUT013,314.1499
FDI35,OUT017,2431.8137
NCU18,OUT049,2121.206
FDY33,OUT018,2273.5774
FDC15,OUT027,3960.267
FDU01,OUT049,2995.816
NCU42,OUT046,1886.9646
NCV29,OUT018,2398.5598
NCY30,OUT017,2557.6318
FDQ46,OUT049,1760.6295
FDG58,OUT027,3746.8105
FDK33,OUT017,3198.6091
NCD07,OUT045,1568.2117
NCX29,OUT027,3350.673
NCT42,OUT013,2178.147
DRN59,OUT035,668.00616
FDI44,OUT035,1419.8949
FDA45,OUT049,2630.2644
FDP31,OUT045,901.8281
FDY01,OUT046,1691.8779
FDT09,OUT018,1831.4641
DRH03,OUT027,2135.466
FDA36,OUT018,2735.2515
NCF31,OUT017,2165.1633
FDG14,OUT049,2372.1711
FDG28,OUT027,6096.4946
FDU14,OUT049,3235.4595
FDY47,OUT019,33.29
FDI56,OUT049,1169.639
DRD01,OUT013,531.40546
FDM22,OUT046,1059.0785
FDH33,OUT013,585.9128
DRZ24,OUT013,1897.4863
NCQ38,OUT046,927.8771
FDO16,OUT027,2155.3513
FDU07,OUT027,4253.428
NCB07,OUT013,2942.838
FDU48,OUT045,1806.0748
NCM43,OUT045,2245.4229
FDR31,OUT010,33.29
DRK49,OUT018,362.70334
NCI30,OUT010,1072.6196
DRD60,OUT017,2702.0867
NCG19,OUT046,2767.5322
FDH12,OUT035,1681.3752
FDM32,OUT035,1615.3091
FDM27,OUT035,2411.2678
NCU53,OUT027,3964.7131
NCQ18,OUT046,1114.6409
FDS10,OUT013,2883.1318
FDB33,OUT027,4458.168
FDI12,OUT013,1281.219
NCW42,OUT013,3410.9995
NCC06,OUT018,1597.7706
FDW02,OUT017,2122.5293
NCD43,OUT017,1377.0269
FDM57,OUT018,1167.4144
FDA58,OUT017,3667.0176
FDK56,OUT046,2437.0984
FDP52,OUT045,3366.076
FDW20,OUT018,1633.5603
FDS52,OUT049,1187.4558
NCT29,OUT018,1529.225
NCL54,OUT013,2693.0823
FDC05,OUT045,2897.2234
FDF34,OUT035,2891.1191
FDP03,OUT027,3312.3103
FDD32,OUT010,33.29
FDZ10,OUT045,1448.3738
FDZ40,OUT035,811.3647
FDD51,OUT018,349.32346
NCY30,OUT019,33.29
FDP58,OUT017,3399.8716
FDV49,OUT017,4383.761
FDY24,OUT019,33.29
NCO55,OUT017,1562.2316
FDR13,OUT017,2004.6146
FDS51,OUT017,601.81384
FDP26,OUT045,1279.195
NCB54,OUT027,2975.437
FDF32,OUT017,2970.6243
FDN31,OUT018,2762.203
DRM48,OUT017,255.8141
FDN20,OUT049,2369.2776
DRL01,OUT046,3480.8716
FDV56,OUT049,1848.7981
DRH13,OUT027,2566.2002
FDA03,OUT017,2317.161
FDF47,OUT027,5331.127
FDX32,OUT046,2113.809
FDX57,OUT049,1379.2208
NCA30,OUT045,2461.5815
FDO49,OUT013,144.54874
FDL04,OUT019,33.29
DRM48,OUT035,657.4452
FDR16,OUT013,3143.1824
NCC19,OUT018,2243.3035
NCE42,OUT045,3069.3838
FDY24,OUT017,949.0807
FDH19,OUT049,2204.2266
FDJ46,OUT013,2764.4712
FDN45,OUT010,755.76184
FDY08,OUT035,2358.3767
FDZ37,OUT035,1772.3066
NCT30,OUT045,640.4552
DRY23,OUT018,512.33246
NCZ30,OUT018,1297.6968
FDC44,OUT018,1519.063
FDB45,OUT035,1809.221
FDY04,OUT013,2349.8145
FDM27,OUT046,2405.5356
FDZ43,OUT017,4170.8135
FDT39,OUT019,33.29
NCC06,OUT019,33.29
FDL15,OUT027,4205.987
FDL57,OUT017,3859.7708
FDU08,OUT046,1137.3469
FDK40,OUT017,4326.9253
FDQ12,OUT010,484.0574
FDS48,OUT017,2069.7834
FDP09,OUT045,2576.9211
FDW21,OUT049,1466.3744
FDY25,OUT035,3090.2988
DRE13,OUT017,994.6621
FDV43,OUT019,33.29
FDD22,OUT045,1331.8629
FDM46,OUT019,33.29
NCO30,OUT010,334.53845
FDM25,OUT046,2448.6965
NCN41,OUT049,1615.9493
FDU24,OUT045,1706.3392
FDZ50,OUT046,2663.918
FDP45,OUT013,3974.1772
NCM54,OUT045,1592.0586
FDW10,OUT019,33.29
FDP20,OUT017,1887.8298
FDK32,OUT046,2236.0745
FDN52,OUT049,1236.1882
FDM58,OUT045,1508.8763
FDZ46,OUT027,2752.892
NCA18,OUT018,1369.2009
FDD35,OUT046,1684.0996
NCK31,OUT035,676.3528
FDI40,OUT027,2751.9043
FDT50,OUT019,33.29
NCT06,OUT046,1935.2001
FDT31,OUT035,3121.6423
FDT45,OUT049,329.4766
FDT13,OUT045,2810.008
FDO50,OUT045,1196.065
NCU18,OUT010,33.29
NCR54,OUT049,2833.4883
NCO18,OUT018,2144.433
FDU09,OUT045,857.59845
FDT13,OUT018,2496.811
FDE09,OUT046,1350.5396
NCK53,OUT019,33.29
FDG45,OUT049,3165.952
DRH15,OUT035,452.25888
FDO21,OUT019,33.29
FDD14,OUT027,4820.3345
FDC09,OUT046,1530.1094
FDH45,OUT027,1268.386
FDV32,OUT046,591.8978
FDG12,OUT035,2331.4507
FDS32,OUT013,2152.332
NCL55,OUT018,3468.9988
DRE01,OUT035,3889.0725
DRE15,OUT049,630.5592
NCL42,OUT045,3216.3071
FDP31,OUT013,919.2129
FDN33,OUT018,1364.22
FDZ59,OUT046,2853.065
FDE45,OUT010,33.29
FDJ07,OUT013,1986.0502
FDQ45,OUT018,2544.0305
FDM33,OUT027,5432.783
FDO15,OUT010,33.29
FDM46,OUT013,1460.2128
FDR03,OUT045,2695.5203
FDY49,OUT018,2114.1775
FDQ60,OUT045,2078.8586
FDW10,OUT049,2431.8413
FDO51,OUT049,594.2933
FDJ40,OUT018,1388.1494
FDS20,OUT018,2655.6106
FDU45,OUT013,1894.834
FDV02,OUT035,2363.2722
FDN09,OUT046,3187.8494
NCM55,OUT027,4648.0083
FDN23,OUT018,2008.2147
FDY31,OUT010,33.29
FDW03,OUT010,33.29
FDD14,OUT046,2412.15
FDV23,OUT017,1666.6998
DRI03,OUT045,2343.1785
FDN13,OUT035,1558.4272
FDF45,OUT027,1605.8242
FDU46,OUT035,1501.449
FDB57,OUT049,3666.634
FDV12,OUT049,1716.3762
FDQ58,OUT013,2404.7097
NCA18,OUT017,1544.9716
FDH52,OUT049,865.40247
FDM24,OUT018,2372.4556
NCP43,OUT027,4564.056
NCO18,OUT019,33.29
FDM32,OUT017,1326.7985
NCL07,OUT017,443.07156
FDK03,OUT013,3873.945
FDP59,OUT017,1662.3898
FDQ24,OUT049,3942.3303
FDQ16,OUT018,1332.1805
FDU44,OUT013,2402.417
FDH28,OUT010,33.29
FDV28,OUT019,33.29
FDM22,OUT045,718.45184
FDR56,OUT046,2920.762
FDV39,OUT049,2740.908
FDU37,OUT019,33.29
FDQ11,OUT010,860.4842
FDX02,OUT045,3061.7666
NCS42,OUT018,1041.8296
FDY57,OUT027,2226.1018
FDB21,OUT049,3726.8127
FDE28,OUT017,3546.8171
FDQ55,OUT017,1898.2251
FDA48,OUT049,3557.1665
FDZ19,OUT045,2527.902
NCC43,OUT045,3167.1572
NCV18,OUT046,957.3958
NCA42,OUT018,1761.0532
FDY45,OUT046,3397.198
NCC30,OUT045,2314.1382
FDM57,OUT013,1413.7815
FDL09,OUT010,731.6165
FDB09,OUT027,3535.6228
FDT44,OUT035,2024.3369
NCT06,OUT027,3745.9578
FDX26,OUT049,2278.5457
FDK32,OUT013,2365.7766
DRA12,OUT046,1328.5059
FDO46,OUT010,467.68958
FDE52,OUT013,1073.8159
NCH42,OUT045,2943.402
FDV08,OUT035,949.5267
FDB47,OUT018,2613.3386
FDC28,OUT010,33.29
FDD22,OUT046,1452.448
FDS07,OUT027,3287.803
DRI13,OUT045,3097.9626
FDG32,OUT018,3318.2761
FDU14,OUT017,3569.7373
FDD28,OUT019,33.29
NCP41,OUT017,1289.7665
FDS08,OUT049,2655.9543
FDX47,OUT045,2232.7783
FDC53,OUT019,33.29
FDQ19,OUT035,4084.044
FDL14,OUT045,2413.2769
FDM33,OUT019,296.88058
FDA51,OUT045,1221.7888
FDZ27,OUT018,570.08997
FDT04,OUT046,409.5377
DRC13,OUT049,1840.7778
FDR16,OUT027,5459.227
FDQ03,OUT027,6059.6357
FDE38,OUT035,2883.3147
DRH23,OUT027,1399.2197
FDT11,OUT019,33.29
FDD09,OUT035,3087.994
FDR40,OUT045,1286.9658
FDX07,OUT017,3094.9805
FDR07,OUT035,1663.9043
FDA51,OUT017,1814.3534
FDT59,OUT019,33.29
FDF20,OUT017,3009.4316
FDR13,OUT045,1713.2263
FDY26,OUT049,3009.5803
FDW04,OUT017,2202.02
FDK52,OUT017,3745.3474
FDN60,OUT049,2395.7869
FDM09,OUT019,33.29
FDP46,OUT049,1032.3943
FDB50,OUT019,33.29
NCQ29,OUT049,3711.6323
FDP16,OUT027,5921.253
FDX33,OUT018,2346.7651
FDP07,OUT010,182.06075
FDN22,OUT046,3631.7976
FDF39,OUT049,3886.3088
FDS21,OUT017,667.92523
NCM42,OUT013,1514.9846
FDK50,OUT019,33.29
DRF13,OUT027,3554.0415
FDH35,OUT018,2190.2402
FDP60,OUT018,1104.7524
DRJ49,OUT027,3132.382
NCT42,OUT019,33.29
FDE38,OUT049,2328.1396
FDI04,OUT049,3157.455
NCH54,OUT045,2057.38
FDT56,OUT049,885.25665
DRD15,OUT018,3374.4065
FDV58,OUT013,3098.3933
FDP21,OUT049,3112.4312
FDH05,OUT013,3452.4219
FDR10,OUT027,3985.2146
NCP06,OUT045,1877.7373
FDF33,OUT049,1343.2256
DRK37,OUT013,3027.76
DRH49,OUT045,1124.1069
FDT58,OUT013,2659.2896
FDD41,OUT018,1357.6917
FDP40,OUT018,1449.9473
FDM51,OUT027,2724.529
FDO45,OUT010,33.29
FDW33,OUT010,33.29
FDY24,OUT045,1139.1046
FDB10,OUT010,505.83316
FDM40,OUT035,2310.565
NCI06,OUT017,2582.7437
FDW12,OUT019,33.29
FDX48,OUT027,4045.648
NCW05,OUT027,2401.737
FDX27,OUT017,1317.2871
DRM37,OUT045,2870.14
FDA38,OUT045,3457.4944
FDR36,OUT046,695.04553
FDZ45,OUT046,2663.9343
FDG05,OUT017,2642.72
FDK28,OUT013,4586.501
FDV47,OUT045,853.1366
FDN21,OUT045,1862.9055
FDP20,OUT027,3596.9854
FDI35,OUT045,2334.7952
DRY23,OUT013,370.86475
FDA56,OUT017,1840.8136
FDB09,OUT013,1758.8481
NCO26,OUT027,2657.858
FDQ49,OUT018,2053.5117
FDI52,OUT027,3383.4158
FDZ44,OUT027,3300.9185
FDZ09,OUT018,2145.272
FDY03,OUT049,1863.4447
NCG42,OUT017,1790.2344
DRI13,OUT027,5242.0913
FDQ32,OUT013,1894.9285
FDW16,OUT035,1999.173
FDU27,OUT046,687.492
FDR28,OUT010,33.29
FDQ49,OUT010,33.29
FDS37,OUT046,1396.9474
FDW26,OUT018,2802.4421
FDX12,OUT018,3495.6128
NCP06,OUT013,2179.049
FDW45,OUT010,33.29
NCN30,OUT049,1424.2751
FDN24,OUT049,441.83795
NCL41,OUT027,742.6848
FDR02,OUT019,33.29
FDD09,OUT010,33.29
FDS33,OUT010,33.29
FDU22,OUT045,1395.7645
FDI53,OUT013,2252.3286
DRH01,OUT049,2701.8235
FDX32,OUT013,2171.43
NCP30,OUT018,380.3977
FDB60,OUT045,2760.7483
FDB14,OUT049,1326.076
NCP02,OUT035,980.49023
FDJ10,OUT017,2191.8337
FDG34,OUT046,1794.0083
NCB18,OUT017,1135.5118
FDM16,OUT049,1095.4003
FDW25,OUT018,1106.6195
FDB35,OUT010,33.29
DRN11,OUT013,2126.7751
FDF41,OUT019,471.4754
FDH16,OUT045,1098.1482
NCQ50,OUT018,2655.427
DRH23,OUT018,438.8643
DRJ37,OUT013,2481.072
DRJ24,OUT027,4468.419
FDY16,OUT035,3283.3918
FDQ27,OUT045,1445.1888
FDZ33,OUT045,1924.1676
FDF29,OUT045,1833.0712
FDA08,OUT049,2775.459
FDG31,OUT046,754.74066
FDE34,OUT019,33.29
NCR30,OUT027,1661.0953
FDV33,OUT035,3728.931
DRZ24,OUT018,1580.904
NCL54,OUT035,2578.9443
FDR12,OUT049,3288.2998
NCC54,OUT046,3471.7651
DRN59,OUT013,149.97852
FDX50,OUT019,33.29
FDV31,OUT027,5110.6016
NCA29,OUT027,3933.9536
FDW60,OUT049,3546.7666
FDX08,OUT017,2817.278
DRD49,OUT013,3987.5078
FDD33,OUT046,3170.033
FDW35,OUT013,42.60843
FDJ36,OUT017,1564.0664
FDV51,OUT035,2549.2522
FDW36,OUT046,1453.888
FDH35,OUT046,2419.492
NCS30,OUT027,2976.8318
FDN49,OUT017,33.29
FDL08,OUT018,3772.2568
FDI09,OUT013,3879.9006
FDP19,OUT018,1759.4125
FDU21,OUT010,33.29
NCP41,OUT045,1117.1439
FDY10,OUT013,1755.6749
FDP12,OUT018,434.4889
NCN26,OUT049,1780.9182
FDK44,OUT013,2790.8381
FDC28,OUT049,1312.7288
FDJ41,OUT027,6241.548
NCT29,OUT035,1972.5232
NCH42,OUT019,80.63814
FDU60,OUT018,2464.1802
FDS02,OUT045,2667.45
FDC51,OUT046,1789.3163
FDU03,OUT013,2972.343
FDX39,OUT045,2840.7
NCY05,OUT010,33.29
NCL06,OUT027,5604.1304
FDD32,OUT035,1717.3962
NCN41,OUT045,1343.2574
NCX53,OUT049,1873.6976
FDU57,OUT019,33.29
FDQ23,OUT046,1434.0223
FDQ52,OUT045,3784.0405
FDC14,OUT045,486.4873
FDY09,OUT035,2942.9246
FDQ28,OUT045,2240.3442
FDV25,OUT046,2919.264
FDJ07,OUT035,2129.7173
DRB25,OUT049,1474.947
FDK52,OUT019,33.29
FDY52,OUT027,1591.123
FDB28,OUT046,2313.6958
FDT36,OUT035,420.49686
FDV25,OUT017,3688.0544
NCN07,OUT027,3516.3708
FDC57,OUT017,3265.801
FDQ03,OUT018,3532.5815
FDU23,OUT017,2272.098
NCX41,OUT035,3289.538
NCD06,OUT035,729.3405
FDW08,OUT045,1382.9397
NCU29,OUT017,2027.7052
NCE06,OUT013,2426.1697
FDV52,OUT010,33.29
FDB02,OUT017,2934.868
NCR18,OUT045,472.05194
FDK16,OUT049,1079.5283
NCQ29,OUT010,881.6007
FDZ01,OUT019,33.29
FDW27,OUT035,2341.309
FDD17,OUT018,3401.4485
FDW39,OUT013,2675.5635
DRH59,OUT045,928.8046
FDS52,OUT013,1458.65
FDU40,OUT027,4931.2935
NCF54,OUT013,2584.5764
FDH46,OUT045,1554.4297
NCP14,OUT049,1547.0319
FDH50,OUT049,2982.7244
DRF15,OUT010,33.29
FDV27,OUT027,2351.7588
NCJ06,OUT049,1736.444
FDN02,OUT018,2821.569
FDQ51,OUT049,531.70026
FDQ07,OUT017,3835.44
FDS45,OUT049,1579.6003
NCJ06,OUT045,1493.6702
FDD36,OUT035,1733.7963
FDY25,OUT045,2716.4595
FDU52,OUT046,1979.9521
DRK47,OUT017,3357.7822
NCL30,OUT017,1767.8496
FDN22,OUT035,3633.8657
NCF30,OUT027,2853.5623
FDK03,OUT035,3780.025
FDT45,OUT017,522.2554
NCC54,OUT027,5626.4165
FDP08,OUT018,2715.2632
FDU44,OUT046,2385.0112
DRG39,OUT035,459.9156
FDU32,OUT049,1672.0249
FDY27,OUT049,2365.9883
NCP54,OUT013,1756.2748
NCZ41,OUT049,1609.7965
DRL49,OUT013,2317.3499
FDI05,OUT018,984.5815
FDY56,OUT045,3506.912
DRC13,OUT013,1601.249
NCV29,OUT017,2503.2708
FDR24,OUT049,1539.8242
FDZ34,OUT018,2630.394
FDP37,OUT035,2098.6946
FDX08,OUT027,5118.9077
FDS57,OUT045,1678.6674
NCG18,OUT049,1546.8542
FDK25,OUT018,2560.2146
FDH53,OUT049,1189.3221
DRI59,OUT018,2571.7886
FDA52,OUT046,2839.715
FDT20,OUT010,33.29
FDE36,OUT019,33.29
FDI24,OUT017,2562.0984
FDB28,OUT018,2908.3909
FDV11,OUT017,2823.4194
FDP01,OUT046,2290.641
FDD34,OUT027,3994.1606
FDJ50,OUT027,1326.5963
FDZ44,OUT013,1781.8087
DRO59,OUT035,1158.8744
DRB48,OUT045,208.99825
FDR21,OUT018,2302.7336
NCE42,OUT010,915.797
FDO23,OUT046,992.727
NCE30,OUT018,2661.9956
FDQ22,OUT035,423.54596
FDY01,OUT045,1596.018
FDS08,OUT017,2755.5522
FDG28,OUT018,3431.0432
FDQ51,OUT018,695.5967
FDB05,OUT017,4007.2527
FDO56,OUT049,1983.8693
FDE02,OUT018,1106.8047
FDN45,OUT017,3307.9543
FDS09,OUT013,818.96893
NCA54,OUT018,2233.7708
FDP09,OUT010,583.2781
FDC53,OUT045,1197.4117
NCM55,OUT017,2767.2427
FDL09,OUT018,2430.9412
FDA11,OUT019,33.29
FDA50,OUT045,994.1457
FDC23,OUT017,2296.4893
FDE22,OUT049,2466.8008
FDD23,OUT046,2956.019
NCA29,OUT049,2697.2551
FDK38,OUT046,1862.9865
DRC13,OUT046,1666.3241
NCP43,OUT049,2516.1719
FDX28,OUT049,1107.6196
FDF08,OUT049,1522.8757
FDZ33,OUT046,1961.854
FDD10,OUT049,2922.4768
FDO58,OUT017,2331.1965
FDI50,OUT017,3632.9146
FDO58,OUT045,1932.9185
FDX08,OUT013,2925.647
NCK17,OUT010,33.29
FDF39,OUT035,3986.6472
FDU45,OUT010,33.29
NCJ18,OUT018,1469.314
DRC27,OUT019,33.29
DRC25,OUT035,1118.7448
FDU59,OUT035,2951.6292
FDU28,OUT035,3422.5798
NCP30,OUT046,371.07556
FDB39,OUT018,593.87177
FDE41,OUT013,1221.7627
DRH11,OUT010,33.29
FDA58,OUT045,3226.3967
FDU50,OUT046,1648.653
FDM34,OUT013,2078.4895
FDM44,OUT027,2830.4211
FDR39,OUT045,2177.3237
FDM25,OUT045,2568.8176
FDQ49,OUT049,2774.8872
DRH25,OUT018,534.1447
FDM09,OUT027,4145.6797
FDL44,OUT019,33.29
NCR42,OUT018,224.01596
DRL59,OUT046,468.92746
FDX43,OUT013,2811.7695
DRK47,OUT010,461.37018
FDU48,OUT018,1669.6207
FDY12,OUT045,985.5065
NCN43,OUT018,1637.6055
NCM55,OUT018,2553.13
FDQ21,OUT027,2988.0217
FDX13,OUT035,4295.5693
NCK30,OUT027,5485.8027
FDG20,OUT049,2965.9548
DRG27,OUT017,322.53845
FDY14,OUT018,3864.9749
FDP59,OUT035,1823.1688
FDU60,OUT017,2511.3594
NCC18,OUT019,33.29
DRJ39,OUT017,3031.4841
FDS07,OUT049,1561.1322
FDM08,OUT027,5873.9556
FDP51,OUT045,1538.7952
FDU16,OUT035,1820.2764
FDH12,OUT013,1660.6399
DRE48,OUT010,136.25093
NCL42,OUT027,5325.113
FDR21,OUT045,2088.6843
NCW29,OUT035,2124.5674
FDO11,OUT013,3832.809
NCM31,OUT049,2104.9128
FDV35,OUT019,33.29
FDF58,OUT017,663.00635
NCE43,OUT049,2529.4004
FDA02,OUT035,2353.1326
DRL37,OUT010,33.29
FDR24,OUT018,1214.1637
FDW59,OUT049,951.47614
FDS22,OUT049,457.70435
FDW24,OUT017,587.8473
FDU24,OUT035,1873.3234
FDA21,OUT027,4618.3066
FDH58,OUT027,2878.7336
FDW36,OUT018,1382.1074
FDI45,OUT027,4919.3438
FDU01,OUT018,2365.5115
FDF35,OUT027,2816.06
FDU43,OUT019,42.91353
FDE24,OUT019,33.29
FDK50,OUT049,2272.7017
FDG31,OUT045,660.5429
FDC60,OUT045,1697.2153
FDL36,OUT013,1232.8201
FDP21,OUT013,2963.9307
FDW16,OUT045,1151.237
